session_id,timestamp,user_id,product_id,event_type,offered_discount,purchase_id
100001,2021-01-07T08:05:23,102,1277,VIEW_PRODUCT,0,
100001,2021-01-07T08:09:16,102,1276,VIEW_PRODUCT,0,
100001,2021-01-07T08:13:32,102,1276,BUY_PRODUCT,0,20001
100002,2021-01-02T02:02:07,102,1049,VIEW_PRODUCT,0,
100002,2021-01-02T02:04:41,102,1050,VIEW_PRODUCT,0,
100002,2021-01-02T02:06:36,102,1048,VIEW_PRODUCT,0,
100002,2021-01-02T02:07:38,102,1048,BUY_PRODUCT,0,20002
100003,2021-01-05T00:55:58,102,1283,VIEW_PRODUCT,0,
100004,2021-01-06T05:39:40,102,1234,VIEW_PRODUCT,0,
100005,2021-01-03T17:25:45,102,1067,VIEW_PRODUCT,0,
100005,2021-01-03T17:26:51,102,1067,BUY_PRODUCT,0,20003
100006,2021-01-04T07:34:40,102,1001,VIEW_PRODUCT,0,
100007,2021-01-05T17:07:20,102,1319,VIEW_PRODUCT,0,
100007,2021-01-05T17:07:44,102,1317,VIEW_PRODUCT,0,
100007,2021-01-05T17:12:01,102,1315,VIEW_PRODUCT,0,
100007,2021-01-05T17:12:15,102,1316,VIEW_PRODUCT,0,
100007,2021-01-05T17:16:55,102,1316,BUY_PRODUCT,0,20004
100008,2021-01-05T14:34:48,102,1038,VIEW_PRODUCT,5,
100008,2021-01-05T14:39:24,102,1033,VIEW_PRODUCT,5,
100008,2021-01-05T14:40:06,102,1033,BUY_PRODUCT,5,20005
100009,2021-01-07T14:33:21,102,1001,VIEW_PRODUCT,20,
100009,2021-01-07T14:35:53,102,1001,BUY_PRODUCT,20,20006
100010,2021-01-02T17:22:16,102,1277,VIEW_PRODUCT,15,
100010,2021-01-02T17:25:09,102,1276,VIEW_PRODUCT,15,
100011,2021-01-05T02:13:09,102,1001,VIEW_PRODUCT,10,
100011,2021-01-05T02:15:38,102,1001,BUY_PRODUCT,10,20007
100012,2021-01-05T23:08:07,102,1222,VIEW_PRODUCT,15,
100012,2021-01-05T23:11:02,102,1201,VIEW_PRODUCT,15,
100012,2021-01-05T23:11:34,102,1074,VIEW_PRODUCT,15,
100012,2021-01-05T23:15:33,102,1073,VIEW_PRODUCT,15,
100012,2021-01-05T23:19:45,102,1073,BUY_PRODUCT,15,20008
100013,2021-01-02T13:12:06,102,1233,VIEW_PRODUCT,0,
100013,2021-01-02T13:15:50,102,1234,VIEW_PRODUCT,0,
100013,2021-01-02T13:18:23,102,1234,BUY_PRODUCT,0,20009
100014,2021-01-03T15:52:31,102,1001,VIEW_PRODUCT,20,
