user_id,product_id,purchase_id
102.0,1276.0,20001.0
102.0,1048.0,20002.0
102.0,1067.0,20003.0
102.0,1316.0,20004.0
102.0,1033.0,20005.0
102.0,1001.0,20006.0
102.0,1001.0,20007.0
102.0,1073.0,20008.0
102.0,1234.0,20009.0
102.0,1001.0,20010.0
102.0,1052.0,20011.0
102.0,1283.0,20012.0
102.0,1318.0,20013.0
102.0,1052.0,20014.0
102.0,1084.0,20015.0
102.0,1001.0,20016.0
102.0,1283.0,20017.0
102.0,1001.0,20018.0
102.0,1283.0,20019.0
102.0,1233.0,20020.0
102.0,,20021.0
102.0,1283.0,20024.0
102.0,1233.0,20025.0
102.0,1067.0,20026.0
102.0,,20027.0
102.0,1013.0,20028.0
102.0,1049.0,20029.0
102.0,1276.0,20030.0
102.0,1317.0,20031.0
102.0,1046.0,20032.0
102.0,1047.0,20033.0
103.0,1001.0,20034.0
103.0,1035.0,20035.0
103.0,1073.0,20036.0
103.0,1001.0,20037.0
103.0,1005.0,20038.0
103.0,1001.0,20039.0
103.0,1277.0,20040.0
103.0,1048.0,20041.0
103.0,1051.0,20042.0
103.0,1080.0,20043.0
103.0,1201.0,20044.0
103.0,1067.0,20045.0
103.0,1076.0,20046.0
103.0,1276.0,20047.0
103.0,1041.0,20048.0
103.0,1318.0,20049.0
103.0,1278.0,20051.0
103.0,1051.0,20052.0
103.0,1319.0,20053.0
103.0,1276.0,20054.0
103.0,1318.0,20055.0
103.0,,20056.0
103.0,1316.0,20058.0
103.0,1234.0,20059.0
103.0,1318.0,20060.0
103.0,1290.0,20061.0
103.0,1233.0,20062.0
103.0,1076.0,20063.0
103.0,1234.0,20064.0
103.0,1283.0,20065.0
103.0,1233.0,20066.0
103.0,1318.0,20067.0
103.0,1076.0,20068.0
103.0,1033.0,20070.0
103.0,1318.0,20071.0
103.0,1010.0,20072.0
103.0,1067.0,20073.0
103.0,1025.0,20074.0
103.0,1318.0,20075.0
103.0,1233.0,20076.0
103.0,1234.0,20077.0
103.0,1001.0,20078.0
103.0,1233.0,20079.0
103.0,1078.0,20080.0
103.0,1002.0,20081.0
103.0,1318.0,20082.0
103.0,1318.0,20083.0
103.0,1277.0,20084.0
103.0,1084.0,20085.0
103.0,1057.0,20086.0
103.0,1281.0,20087.0
103.0,1277.0,20088.0
103.0,1276.0,20089.0
103.0,1038.0,20090.0
103.0,1316.0,20091.0
103.0,1034.0,20092.0
103.0,1035.0,20093.0
103.0,1075.0,20094.0
103.0,1001.0,20095.0
103.0,1006.0,20096.0
103.0,1319.0,20097.0
103.0,1046.0,20098.0
103.0,1284.0,20100.0
103.0,1283.0,20101.0
103.0,1319.0,20102.0
103.0,1318.0,20103.0
103.0,1077.0,20104.0
104.0,,20105.0
104.0,1009.0,20106.0
104.0,1277.0,20107.0
104.0,1276.0,20108.0
104.0,1281.0,20109.0
104.0,1035.0,20110.0
104.0,1002.0,20111.0
104.0,1317.0,20112.0
104.0,1234.0,20113.0
104.0,1041.0,20114.0
104.0,1281.0,20115.0
104.0,1035.0,20116.0
104.0,1283.0,20117.0
104.0,1318.0,20118.0
104.0,1084.0,20119.0
104.0,1201.0,20120.0
104.0,1316.0,20121.0
104.0,1001.0,20122.0
105.0,1073.0,20123.0
105.0,1040.0,20124.0
105.0,1278.0,20125.0
105.0,1318.0,20126.0
105.0,1054.0,20127.0
105.0,1201.0,20128.0
105.0,1001.0,20129.0
105.0,1234.0,20130.0
105.0,1073.0,20131.0
105.0,1017.0,20132.0
105.0,,20133.0
105.0,1004.0,20134.0
105.0,1281.0,20135.0
105.0,1276.0,20136.0
105.0,1046.0,20137.0
105.0,1072.0,20138.0
105.0,1285.0,20139.0
105.0,1001.0,20140.0
105.0,1035.0,20141.0
105.0,1075.0,20142.0
105.0,1222.0,20143.0
105.0,1318.0,20144.0
105.0,1319.0,20145.0
105.0,1318.0,20146.0
105.0,1277.0,20147.0
105.0,1051.0,20148.0
105.0,1276.0,20149.0
105.0,1318.0,20150.0
105.0,1001.0,20151.0
105.0,1001.0,20152.0
105.0,1318.0,20153.0
105.0,1234.0,20154.0
105.0,1025.0,20155.0
105.0,1055.0,20156.0
105.0,1038.0,20157.0
105.0,1032.0,20158.0
105.0,,20159.0
105.0,1001.0,20160.0
105.0,1281.0,20161.0
105.0,1034.0,20162.0
105.0,1276.0,20163.0
105.0,1317.0,20164.0
105.0,,20165.0
105.0,1278.0,20166.0
105.0,,20167.0
105.0,1057.0,20168.0
105.0,1281.0,20169.0
105.0,1276.0,20170.0
105.0,1030.0,20171.0
105.0,1001.0,20172.0
105.0,,20173.0
105.0,1002.0,20174.0
105.0,1291.0,20176.0
105.0,1234.0,20177.0
105.0,1284.0,20178.0
105.0,1318.0,20179.0
105.0,1036.0,20180.0
106.0,1042.0,20181.0
106.0,1292.0,20182.0
106.0,1001.0,20183.0
106.0,1057.0,20184.0
106.0,1277.0,20185.0
106.0,1292.0,20186.0
106.0,1002.0,20188.0
106.0,1009.0,20189.0
106.0,1315.0,20190.0
